5	Nemzetiségi önkormányzatok, önkormányzat közgyűlésének tevékenysége	0
501	Nemzetiségi önkormányzatok működtetése, támogatása	5
502	Önkormányzat közgyűlésénak működési kiadásai	5
6	Humánszolgáltatási feladatok	0
601	Egészségügy	6
60101	Egészségügyi feladatok	601
60102	Kreatív Tudásközpont Közalapítvány	601
602	Szociális feladatok	6
60201	Szociális pénzbeli ellátások és kapcsolódó kiadások	602
60202	Szociális jellegű feladatok támogatása	602
60203	Szünidei gyermekétkeztetés	602
60204	Egészséges Életmódért Hit és Sport Alapítvány Biztos Kezde	602
60205	SOS-Gyermekfalu Magyarországi Alapítványa	602
60206	Közfoglalkoztatási feladatok támogatása	602
60207	Városi Szociális Közalapítvány	602
60208	Neumann János Egyetem	602
60209	Idősügyi feladatok	602
603	Ifjúságpolitika, drogprevenció	6
604	Köznevelés	6
60401	Sajátos nevelés, tehetséggondozás	604
60402	Matematikában Tehetséges Gyermekekért Alapítvány	604
60403	Tehetségek támogatása	604
605	Sport	6
60501	Sportszervezetek támogatása	605
60502	Egészséges Életmódért Hit és Sport Alapítvány	605
606	Közművelődési és közgyűjteményi feladatok	6
60601	Közművelődési, közgyűjteményi, kulturális szervezetek támogatása	606
60602	Települési Értéktár Bizottság működése	606
60603	Bozsó Gyűjtemény Alapítvány	606
60604	Leskowsky Hangszergyűjtemény Közalapítvány	606
60605	Kulturális rendezvények támogatása	606
60606	Múzeumok Éjszakája rendezvény	606
60607	Kecskeméti Tehetségsegítő Tanács működése	606
607	Egyházak támogatása	6
608	Egyéb támogatások, kölcsönnyújtás	6
60801	Első lakáshoz jutók támogatási kölcsöne	608
60802	Munkáltatói kölcsön	608
7	Egyéb működési kiadások	0
701	ISPA Konzorcium általános forgalmi adó befizetése	7
702	Általános forgalmi adó befizetése	7
703	Egyéb működési kiadások	7
704	COVID-19 koronavírus fertőzés elleni védekezés	7
705	Beszerzési, közbeszerzési eljárások kiadásai	7
706	E-közigazgatás-rendszerkövetés, informatikai kiadások	7
707	Állami támogatás visszafizetés	7
708	Szolidaritási hozzájárulás	7
709	Jogi munka kockázata, közjegyzői díjak	7
710	Ebösszeírás	7
711	Választókerületi támogatási program	7
712	Városi díjak és díszdiplomák	7
713	Városi Támogatási Program /Civil szervezetek támogatása	7
8	Adósságszolgálat, tartalékok	0
801	Vis maior tartalék	8
802	Intézményi kiadások tartaléka	8
803	Általános tartalék	8
804	Állami támogatás megelőlegezésének visszafizetése	8
805	Felhalmozási célú hitelek	8
806	Működési célú hitelek	8
807	Számlavezetés és pénzügyi műveletek kiadásai	8
9	Költségvetési szervek kiadásai	0
901	Polgármesteri hivatal	9
902	Egészségügyi és szociális ágazat	9
90201	Egészségügyi és Szociális Intézmények Igazgatósága összesen	902
90202	Őszirózsa Időskorúak Gondozóháza	902
903	Köznevelési ágazat	9
90301	Ferenczy Ida Óvoda	903
90302	Corvina Óvoda	903
90303	Kálmán Lajos Óvoda	903
904	Kulturális ágazat	9
90401	Kecskeméti Planetárium	904
90402	Bács-Kiskun Megyei Katona József Könyvtár	904
90403	Kecskeméti Katona József Nemzeti Színház	904
90404	Ciróka Bábszínház	904
90405	Kecskeméti Katona József Múzeum	904
905	Egyéb	9
90501	Intézmény- és Piacfenntartó Szervezet	905
90502	Kecskeméti Városrendészet	905
